Joint Angles,Model,Model Matrix,Camera Transform,Image Save Name,Image Size
"0,0,1,1,0.1,1,1,0.1,1,0.1",cube_h3_w3_e3,"[[ 1.,  0.,  0.,  0.],  [ 0.,  1.,  0.,  0.],  [ 0.,  0.,  1.,  0.],  [ 0.,  0.,  0.,  1.]] ","50, -2.355, -.449",cube_h1_w1_e1_grasp1,
"0,0,1,1,0.1,1,1,0.1,1,0.1",cube_h3_w3_e6,"[[ 1.,  0.,  0.,  0.],  [ 0.,  1.,  0.,  0.],  [ 0.,  0.,  1.,  0.],  [ 0.,  0.,  0.,  1.]] ","50, -2.355, -.449",cube_h2_w1_e1_grasp1,
"0,0,1,1,0.1,1,1,0.1,1,0.1",cube_h3_w3_e9,"[[ 1.,  0.,  0.,  0.],  [ 0.,  1.,  0.,  0.],  [ 0.,  0.,  1.,  0.],  [ 0.,  0.,  0.,  1.]] ","50, -2.355, -.449",,
"0,0,1,1,0.1,1,1,0.1,1,0.1",cube_h6_w3_e3,"[[ 1.,  0.,  0.,  0.],  [ 0.,  1.,  0.,  0.],  [ 0.,  0.,  1.,  0.],  [ 0.,  0.,  0.,  1.]] ","50, -2.355, -.449",,
"0,0,1,1,0.1,1,1,0.1,1,0.1",cube_h6_w3_e6,"[[ 1.,  0.,  0.,  0.],  [ 0.,  1.,  0.,  0.],  [ 0.,  0.,  1.,  0.],  [ 0.,  0.,  0.,  1.]] ","50, -2.355, -.449",,
"0,0,1,1,0.1,1,1,0.1,1,0.1",cube_h6_w3_e9,"[[ 1.,  0.,  0.,  0.],  [ 0.,  1.,  0.,  0.],  [ 0.,  0.,  1.,  0.],  [ 0.,  0.,  0.,  1.]] ","50, -2.355, -.449",,
