Joint Angles,Hand Matrix,Model,Model Matrix,Camera Transform,Ground Plane Height,Image Save Name,Image Size
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.    -0.     0.     0.   ]
 [ 0.    -1.     0.    -0.095]
 [ 0.     0.     1.    -0.075]
 [ 0.     0.     0.     1.   ]]",cube_h16D29_w9D65_e20D00,"[[ 1.          0.          0.          0.        ]
 [ 0.          1.          0.         -0.08143243]
 [ 0.          0.          1.          0.15      ]
 [ 0.          0.          0.          1.        ]]","[[-0.70626164  0.30729662 -0.63777996  1.1007    ]
 [ 0.          0.90088162  0.43406487 -0.7491    ]
 [ 0.70795091  0.30656337 -0.63625813  1.0981    ]
 [ 0.          0.          0.          1.        ]]",0,/home/ammar/Documents/Projects/NearContactStudy/NearContact20Survey/QualtricsDataProcessing/RefinementImages/cube_h16D29_w9D65_e20D00_h_equidistant_side_up_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.    -0.     0.     0.   ]
 [ 0.    -1.     0.    -0.095]
 [ 0.     0.     1.    -0.075]
 [ 0.     0.     0.     1.   ]]",cube_h14D07_w11D67_e20D00,"[[ 1.          0.          0.          0.        ]
 [ 0.          1.          0.         -0.07033333]
 [ 0.          0.          1.          0.15      ]
 [ 0.          0.          0.          1.        ]]","[[-0.70626164  0.30729662 -0.63777996  1.1007    ]
 [ 0.          0.90088162  0.43406487 -0.7491    ]
 [ 0.70795091  0.30656337 -0.63625813  1.0981    ]
 [ 0.          0.          0.          1.        ]]",0,/home/ammar/Documents/Projects/NearContactStudy/NearContact20Survey/QualtricsDataProcessing/RefinementImages/cube_h14D07_w11D67_e20D00_h_equidistant_side_up_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.    -0.     0.     0.   ]
 [ 0.    -1.     0.    -0.095]
 [ 0.     0.     1.    -0.075]
 [ 0.     0.     0.     1.   ]]",cube_h11D85_w13D68_e20D00,"[[ 1.          0.          0.          0.        ]
 [ 0.          1.          0.         -0.05923423]
 [ 0.          0.          1.          0.15      ]
 [ 0.          0.          0.          1.        ]]","[[-0.70626164  0.30729662 -0.63777996  1.1007    ]
 [ 0.          0.90088162  0.43406487 -0.7491    ]
 [ 0.70795091  0.30656337 -0.63625813  1.0981    ]
 [ 0.          0.          0.          1.        ]]",0,/home/ammar/Documents/Projects/NearContactStudy/NearContact20Survey/QualtricsDataProcessing/RefinementImages/cube_h11D85_w13D68_e20D00_h_equidistant_side_up_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.    -0.     0.     0.   ]
 [ 0.    -1.     0.    -0.095]
 [ 0.     0.     1.    -0.075]
 [ 0.     0.     0.     1.   ]]",cube_h16D62_w14D00_e11D83,"[[ 1.          0.          0.          0.        ]
 [ 0.          1.          0.         -0.08311817]
 [ 0.          0.          1.          0.10915476]
 [ 0.          0.          0.          1.        ]]","[[-0.70626164  0.30729662 -0.63777996  1.1007    ]
 [ 0.          0.90088162  0.43406487 -0.7491    ]
 [ 0.70795091  0.30656337 -0.63625813  1.0981    ]
 [ 0.          0.          0.          1.        ]]",0,/home/ammar/Documents/Projects/NearContactStudy/NearContact20Survey/QualtricsDataProcessing/RefinementImages/cube_h16D62_w14D00_e11D83_h_equidistant_side_up_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.    -0.     0.     0.   ]
 [ 0.    -1.     0.    -0.095]
 [ 0.     0.     1.    -0.075]
 [ 0.     0.     0.     1.   ]]",cube_h14D07_w14D00_e13D40,"[[ 1.          0.          0.          0.        ]
 [ 0.          1.          0.         -0.07033333]
 [ 0.          0.          1.          0.117     ]
 [ 0.          0.          0.          1.        ]]","[[-0.70626164  0.30729662 -0.63777996  1.1007    ]
 [ 0.          0.90088162  0.43406487 -0.7491    ]
 [ 0.70795091  0.30656337 -0.63625813  1.0981    ]
 [ 0.          0.          0.          1.        ]]",0,/home/ammar/Documents/Projects/NearContactStudy/NearContact20Survey/QualtricsDataProcessing/RefinementImages/cube_h14D07_w14D00_e13D40_h_equidistant_side_up_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.    -0.     0.     0.   ]
 [ 0.    -1.     0.    -0.095]
 [ 0.     0.     1.    -0.075]
 [ 0.     0.     0.     1.   ]]",cube_h11D51_w14D00_e14D97,"[[ 1.          0.          0.          0.        ]
 [ 0.          1.          0.         -0.05754849]
 [ 0.          0.          1.          0.12484524]
 [ 0.          0.          0.          1.        ]]","[[-0.70626164  0.30729662 -0.63777996  1.1007    ]
 [ 0.          0.90088162  0.43406487 -0.7491    ]
 [ 0.70795091  0.30656337 -0.63625813  1.0981    ]
 [ 0.          0.          0.          1.        ]]",0,/home/ammar/Documents/Projects/NearContactStudy/NearContact20Survey/QualtricsDataProcessing/RefinementImages/cube_h11D51_w14D00_e14D97_h_equidistant_side_up_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.    -0.     0.     0.   ]
 [ 0.    -1.     0.    -0.095]
 [ 0.     0.     1.    -0.075]
 [ 0.     0.     0.     1.   ]]",cube_h16D62_w17D00_e11D83,"[[ 1.          0.          0.          0.        ]
 [ 0.          1.          0.         -0.08311817]
 [ 0.          0.          1.          0.10915476]
 [ 0.          0.          0.          1.        ]]","[[-0.70626164  0.30729662 -0.63777996  1.1007    ]
 [ 0.          0.90088162  0.43406487 -0.7491    ]
 [ 0.70795091  0.30656337 -0.63625813  1.0981    ]
 [ 0.          0.          0.          1.        ]]",0,/home/ammar/Documents/Projects/NearContactStudy/NearContact20Survey/QualtricsDataProcessing/RefinementImages/cube_h16D62_w17D00_e11D83_h_equidistant_side_up_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.    -0.     0.     0.   ]
 [ 0.    -1.     0.    -0.095]
 [ 0.     0.     1.    -0.075]
 [ 0.     0.     0.     1.   ]]",cube_h14D07_w17D00_e13D40,"[[ 1.          0.          0.          0.        ]
 [ 0.          1.          0.         -0.07033333]
 [ 0.          0.          1.          0.117     ]
 [ 0.          0.          0.          1.        ]]","[[-0.70626164  0.30729662 -0.63777996  1.1007    ]
 [ 0.          0.90088162  0.43406487 -0.7491    ]
 [ 0.70795091  0.30656337 -0.63625813  1.0981    ]
 [ 0.          0.          0.          1.        ]]",0,/home/ammar/Documents/Projects/NearContactStudy/NearContact20Survey/QualtricsDataProcessing/RefinementImages/cube_h14D07_w17D00_e13D40_h_equidistant_side_up_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.    -0.     0.     0.   ]
 [ 0.    -1.     0.    -0.095]
 [ 0.     0.     1.    -0.075]
 [ 0.     0.     0.     1.   ]]",cube_h11D51_w17D00_e14D97,"[[ 1.          0.          0.          0.        ]
 [ 0.          1.          0.         -0.05754849]
 [ 0.          0.          1.          0.12484524]
 [ 0.          0.          0.          1.        ]]","[[-0.70626164  0.30729662 -0.63777996  1.1007    ]
 [ 0.          0.90088162  0.43406487 -0.7491    ]
 [ 0.70795091  0.30656337 -0.63625813  1.0981    ]
 [ 0.          0.          0.          1.        ]]",0,/home/ammar/Documents/Projects/NearContactStudy/NearContact20Survey/QualtricsDataProcessing/RefinementImages/cube_h11D51_w17D00_e14D97_h_equidistant_side_up_cam0,
"0,0,1.0471975512,0.0,0.0,1.0471975512,0.0,0.0,0.0,0.0","[[-1.    -0.     0.     0.   ]
 [ 0.    -1.     0.    -0.095]
 [ 0.     0.     1.    -0.075]
 [ 0.     0.     0.     1.   ]]",cube_h16D62_w20D00_e11D83,"[[ 1.          0.          0.          0.        ]
 [ 0.          1.          0.         -0.08311817]
 [ 0.          0.          1.          0.10915476]
 [ 0.          0.          0.          1.        ]]","[[-0.70626164  0.30729662 -0.63777996  1.1007    ]
 [ 0.          0.90088162  0.43406487 -0.7491    ]
 [ 0.70795091  0.30656337 -0.63625813  1.0981    ]
 [ 0.          0.          0.          1.        ]]",0,/home/ammar/Documents/Projects/NearContactStudy/NearContact20Survey/QualtricsDataProcessing/RefinementImages/cube_h16D62_w20D00_e11D83_h_equidistant_side_up_cam0,
