Grasp Type,Approach,Hand Orientation,Shape,Shape Orientation,Changing Dimension,Average,Standard Deviation,Count,,Average,Standard Deviation,Count,
 3fingerpinch,top, opposite sides, ellipse,h,H,11.289999999999999,11.08,7,,11.289999999999999,11.880000000000001,7
 3fingerpinch,top, opposite sides, ellipse,h,W,24.0,13.529999999999999,8,,10.140000000000001,14.460000000000001,8
 3fingerpinch,top, opposite sides, ellipse,h,E,12.08,12.369999999999999,13,,9.6199999999999992,11.08,13
 equidistant,top, 3 around the sides, cone,e,H,1.0,0.0,11,,19.18,8.4199999999999999,11
 equidistant,top, 3 around the sides, cone,e,W,9.0,11.779999999999999,12,,19.0,9.3100000000000005,12
 equidistant,top, 3 around the sides, cone,e,E,9.0,8.6400000000000006,12,,23.0,8.7200000000000006,12
 2fingerpinch,top, end to end, cone,h,H,7.6699999999999999,5.5,6,,26.329999999999998,9.7100000000000009,6
 2fingerpinch,top, end to end, cone,h,W,10.710000000000001,9.6500000000000004,14,,23.289999999999999,10.109999999999999,14
 2fingerpinch,top, end to end, cone,h,E,8.0,10.15,8,,27.0,10.390000000000001,8
 equidistant,side," 2 pinch the sides, 1 on the top", cube,h,H,7.2199999999999998,7.7999999999999998,18,,24.5,6.6100000000000003,18
 equidistant,side," 2 pinch the sides, 1 on the top", cube,h,W,4.3300000000000001,7.6299999999999999,12,,16.27,7.9699999999999998,12
 equidistant,side," 2 pinch the sides, 1 on the top", cube,h,E,3.29,3.6099999999999999,7,,20.43,8.4000000000000004,7
 equidistant,top," 2 around the sides, 1 on the base", cube,h,H,5.0,6.5899999999999999,28,,26.140000000000001,9.4900000000000002,28
 equidistant,top," 2 around the sides, 1 on the base", cube,h,W,7.8099999999999996,9.1600000000000001,27,,22.23,7.0,27
 equidistant,top," 2 around the sides, 1 on the base", cube,h,E,5.0,5.0800000000000001,26,,23.149999999999999,6.7699999999999996,26
 hook,side, around the sides, ellipse,h,H,4.2000000000000002,3.9199999999999999,5,,25.0,8.7599999999999998,5
 hook,side, around the sides, ellipse,h,W,6.3300000000000001,9.9800000000000004,9,,15.220000000000001,5.0300000000000002,9
 hook,side, around the sides, ellipse,h,E,8.0,10.91,8,,14.710000000000001,9.2799999999999994,8
 hook,side, around the sides, cylinder,h,H,5.0,5.6600000000000001,8,,19.670000000000002,8.4299999999999997,8
 hook,side, around the sides, cylinder,h,W,7.2199999999999998,9.8200000000000003,9,,19.670000000000002,9.2400000000000002,9
 hook,side, around the sides, cylinder,h,E,3.6699999999999999,3.77,3,,17.0,11.31,3
 3fingerpinch,side, end to end, cube,h,H,15.859999999999999,15.08,7,,6.71,7.0499999999999998,7
 3fingerpinch,side, end to end, cube,h,W,3.6699999999999999,3.77,9,,20.559999999999999,7.6500000000000004,9
 3fingerpinch,side, end to end, cube,h,E,3.29,6.3600000000000003,14,,20.43,11.99,14
 2fingerpinch,side, around the sides, cylinder,h,H,6.3300000000000001,9.2400000000000002,27,,21.620000000000001,8.3499999999999996,27
 2fingerpinch,side, around the sides, cylinder,h,W,4.1399999999999997,6.1699999999999999,28,,18.780000000000001,5.9000000000000004,28
 2fingerpinch,side, around the sides, cylinder,h,E,2.8500000000000001,5.1100000000000003,26,,22.850000000000001,7.54,26
 hook,side, over the top, cube,h,H,3.6699999999999999,3.77,3,,17.0,9.8000000000000007,3
 hook,side, over the top, cube,h,W,1.0,0.0,3,,22.329999999999998,7.54,3
 hook,side, over the top, cube,h,E,1.0,0.0,3,,27.670000000000002,7.54,3
 2fingerpinch,top, 2 around the sides, cylinder,e,H,6.7800000000000002,6.4299999999999997,18,,21.0,7.6600000000000001,18
 2fingerpinch,top, 2 around the sides, cylinder,e,W,6.54,9.0899999999999999,13,,24.329999999999998,7.6299999999999999,13
 2fingerpinch,top, 2 around the sides, cylinder,e,E,6.5999999999999996,9.5,10,,24.199999999999999,7.5499999999999998,10
 equidistant,top, 3 down the sides, ellipse,h,H,6.71,6.3600000000000003,14,,27.289999999999999,9.7599999999999998,14
 equidistant,top, 3 down the sides, ellipse,h,W,11.67,11.93,12,,22.82,8.4199999999999999,12
 equidistant,top, 3 down the sides, ellipse,h,E,2.4500000000000002,3.0899999999999999,11,,24.27,6.3399999999999999,11
 equidistant,top, 3 around the sides, cylinder,e,H,11.0,10.390000000000001,12,,19.0,9.3100000000000005,12
 equidistant,top, 3 around the sides, cylinder,e,W,3.46,3.6899999999999999,13,,21.309999999999999,6.7400000000000002,13
 equidistant,top, 3 around the sides, cylinder,e,E,3.6699999999999999,4.9900000000000002,12,,20.329999999999998,8.9199999999999999,12
 3fingerpinch,side, around the sides, ellipse,h,H,10.33,6.3899999999999997,12,,30.329999999999998,4.9900000000000002,12
 3fingerpinch,side, around the sides, ellipse,h,W,3.6699999999999999,5.5899999999999999,15,,21.800000000000001,5.6900000000000004,15
 3fingerpinch,side, around the sides, ellipse,h,E,4.2000000000000002,7.3300000000000001,10,,21.800000000000001,10.85,10
 equidistant,top, 3 down the sides, cone,h,H,9.8000000000000007,9.7699999999999996,10,,26.449999999999999,10.130000000000001,10
 equidistant,top, 3 down the sides, cone,h,W,11.289999999999999,10.66,14,,25.0,10.9,14
 equidistant,top, 3 down the sides, cone,h,E,8.1999999999999993,9.0899999999999999,10,,25.0,6.2000000000000002,10
 3fingerpinch,top, opposite sides, cube,h,H,17.890000000000001,12.19,9,,11.67,10.67,9
 3fingerpinch,top, opposite sides, cube,h,W,14.09,14.58,11,,7.5499999999999998,9.5399999999999991,11
