Grasp Type,Approach,Hand Orientation,Shape,Shape Orientation,Changing Dimension,Average,Min Interval,Max Interval,Count,,Average,Min Interval,Max Interval,Count,
 2fingerpinch,side, around the sides, cone,h,E,2.6000000000000001,2.6000000000000001,2.6000000000000001,25,,23.400000000000002,23.400000000000002,23.400000000000002,25
 3fingerpinch,top, opposite sides, cube,h,H,12.600000000000001,12.600000000000001,14.200000000000001,6,,19.800000000000001,19.800000000000001,19.800000000000001,6
 3fingerpinch,top, opposite sides, cube,h,W,1.0,1.0,1.0,7,,19.0,19.0,21.800000000000001,7
 3fingerpinch,top, opposite sides, cube,h,E,1.0,1.0,5.8000000000000007,8,,15.4,15.4,15.4,8
 3fingerpinch,top, around the sides, cylinder,e,H,6.2000000000000002,6.2000000000000002,6.6000000000000005,4,,22.600000000000001,22.600000000000001,22.600000000000001,4
 3fingerpinch,top, around the sides, cylinder,e,W,1.0,1.0,1.0,7,,18.600000000000001,18.600000000000001,18.600000000000001,7
 3fingerpinch,top, around the sides, cylinder,e,E,1.0,1.0,1.0,7,,13.0,13.0,15.800000000000001,7
 equidistant,top, 3 down the sides, cylinder,h,H,4.2000000000000002,2.2000000000000002,4.2000000000000002,12,,33.0,33.0,33.0,12
 equidistant,top, 3 down the sides, cylinder,h,W,1.0,1.0,1.0,11,,28.600000000000001,28.600000000000001,28.600000000000001,11
 equidistant,top, 3 down the sides, cylinder,h,E,7.8000000000000007,7.0,7.8000000000000007,14,,25.0,25.0,25.0,14
 3fingerpinch,side, around the sides, cone,h,H,1.3999999999999999,1.3999999999999999,1.3999999999999999,9,,17.0,17.0,19.0,9
 3fingerpinch,side, around the sides, cone,h,W,1.0,1.0,1.0,12,,17.400000000000002,17.400000000000002,17.400000000000002,12
 3fingerpinch,side, around the sides, cone,h,E,1.0,1.0,1.0,13,,31.0,28.600000000000001,31.0,13
 3fingerpinch,top, opposite sides, cylinder,w,H,4.2000000000000002,4.2000000000000002,4.2000000000000002,9,,12.200000000000001,12.200000000000001,17.0,9
 3fingerpinch,top, opposite sides, cylinder,w,W,1.0,1.0,6.6000000000000005,2,,15.4,15.4,33.0,2
 3fingerpinch,top, opposite sides, cylinder,w,E,1.0,1.0,1.0,8,,11.800000000000001,11.800000000000001,11.800000000000001,8
 2fingerpinch,top, 2 around the sides, cube,h,H,3.8000000000000003,3.8000000000000003,5.0,16,,17.800000000000001,17.800000000000001,17.800000000000001,16
 2fingerpinch,top, 2 around the sides, cube,h,W,5.0,5.0,5.0,17,,17.400000000000002,17.400000000000002,18.600000000000001,17
 2fingerpinch,top, 2 around the sides, cube,h,E,1.0,1.0,1.0,13,,26.200000000000003,26.200000000000003,26.200000000000003,13
 2fingerpinch,side, around the sides, ellipse,h,H,7.0,7.0,7.0,26,,27.0,27.0,27.400000000000002,26
 2fingerpinch,side, around the sides, ellipse,h,W,1.3999999999999999,1.3999999999999999,1.3999999999999999,27,,24.200000000000003,24.200000000000003,24.200000000000003,27
 2fingerpinch,side, around the sides, ellipse,h,E,1.0,1.0,1.0,28,,25.0,25.0,25.0,28
 equidistant,side," 3 around the sides, palm on round", cone,h,H,10.200000000000001,10.200000000000001,10.200000000000001,9,,25.400000000000002,25.400000000000002,25.400000000000002,9
 equidistant,side," 3 around the sides, palm on round", cone,h,W,1.0,1.0,1.0,10,,21.0,21.0,21.0,10
 equidistant,side," 3 around the sides, palm on round", cone,h,E,3.8000000000000003,3.8000000000000003,3.8000000000000003,17,,33.0,33.0,33.0,17
 2fingerpinch,top, end to end, cube,h,H,5.0,5.0,5.0,14,,33.0,33.0,33.0,14
 2fingerpinch,top, end to end, cube,h,W,4.2000000000000002,4.2000000000000002,4.2000000000000002,9,,25.0,25.0,25.0,9
 2fingerpinch,top, end to end, cube,h,E,1.0,1.0,1.0,7,,18.600000000000001,18.600000000000001,19.400000000000002,7
 3fingerpinch,top, around the sides, cone,e,H,1.0,1.0,1.0,7,,15.0,15.0,18.600000000000001,7
 3fingerpinch,top, around the sides, cone,e,W,1.8,1.8,1.8,7,,13.0,13.0,15.800000000000001,7
 3fingerpinch,top, around the sides, cone,e,E,1.0,1.0,1.0,8,,16.600000000000001,16.600000000000001,16.600000000000001,8
 equidistant,top, 3 around the sides, cone,e,H,1.3999999999999999,1.3999999999999999,1.3999999999999999,11,,17.400000000000002,17.400000000000002,17.400000000000002,11
 equidistant,top, 3 around the sides, cone,e,W,3.8000000000000003,3.0,3.8000000000000003,12,,22.200000000000003,16.600000000000001,22.200000000000003,12
