obj11,sub8,grasp1,optimal0,"[1.3186440914119766, 1.2949933781648582, 1.4607529898581177, 0.018495425499649665]","[-0.8330890811535266, -0.10842871258946023, 0.01381636384173726]","[[-0.8390799855223208, -0.09578160224844093, 0.030229530758648315], [-0.8491333266793528, -0.10811342051134049, 0.004861439973146607]]","[-0.7047896407359093, -0.193724632862581, -0.011701667400324738]","[0.30248053991424434, -0.6757007266301411, 0.09285879407158021, 0.6658162624690527]"
obj11,sub8,grasp1,extreme0,"[1.41876713386289, 1.3708128403343953, 1.4117198641022242, 0.013849655113485682]","[-0.8343780758053496, -0.11736174602940913, 0.01340781067778139]","[[-0.7616385046494325, -0.13409917947798378, -0.020511527639000496], [-0.8449499925334047, -0.10684634994561279, 0.02739044433665786], [-0.838707796912903, -0.08806791696002701, -0.01914722816625208], [-0.850560714095132, -0.12304496083656666, 0.008352709949669858]]","[-0.7068009616591882, -0.1963782368710184, -0.00357910199869024]","[0.30149570587779495, -0.6784615955963919, 0.09225391382494613, 0.663535543902531]"
obj11,sub8,grasp2,optimal0,"[1.7108751869802497, 1.243182356970004, 0.41703737318941053, 1.6399569463172836]","[-0.8601513942551734, -0.14974111604321141, 0.019558362775395192]","[[-0.7990782975888907, -0.12029209409522669, -0.003966054109749574], [-0.8789981635944243, -0.14452652980306152, -0.004782241831351699], [-0.93019758551648, -0.18460678004875078, -0.02154992623388906]]","[-0.7520047345185835, -0.21356035038879845, 0.00322166064792726]","[-0.3093423710196706, -0.4470564229433202, 0.5924145296612608, 0.5945526698647298]"
obj11,sub8,grasp2,extreme0,"[1.812064306488151, 2.076474725415582, 0.4165987199598554, 1.6402199144523497]","[-0.9302755576156693, -0.24111237451778023, -0.08048758760328649]","[[-0.9043392833903381, -0.20667737996724794, -0.1165653445747681], [-0.9170946654471543, -0.25263841791529795, -0.11218942688086715], [-0.9009438403630371, -0.2324803351117396, -0.11362047067200784]]","[-0.7810681992897636, -0.2475904572768271, -0.0643632449579321]","[-0.3474231175641848, -0.5129986109830417, 0.6499464367625026, 0.44011274902140557]"
obj11,sub8,grasp3,optimal0,"[0.8327152273858366, 1.2168059158408322, 0.920828674996322, 1.6469694299190474]","[-0.9347918083924567, -0.11626073510032976, -0.022442388825824968]","[[-0.9037699311910968, -0.04895901979688999, -0.05593490965010571], [-0.9605809890090056, -0.1901552996249903, -0.0515213243715086], [-0.9514237523552191, -0.12200656607693883, 0.005057932821122074]]","[-0.7790856902826551, -0.2018031222049369, -0.01784506165975791]","[-0.36547039926764757, -0.4293880388744819, 0.6550610116751838, 0.50294370491513]"
obj11,sub8,grasp4,optimal0,"[1.4526146963449347, 1.6394879971448755, 1.4473405514104396, 1.1014858617469143]","[-0.8320605585399855, -0.15504483761959714, -0.01490781072072213]","[[-0.8265069136601916, -0.19061031553418323, -0.048990559478054724], [-0.8610951910769475, -0.1702902339528722, -0.025608454911643565], [-0.8423360647065471, -0.16991706302595858, -0.04333459289281814]]","[-0.7755332388070986, -0.134458917277721, 0.0976962194587527]","[-0.21067286795560133, 0.24469083323780666, 0.9273587966764976, -0.18907406237627575]"
obj11,sub8,grasp5,optimal0,"[1.6486265053933333, 1.705567245416078, 0.9031504452221248, 1.6141860690808043]","[-0.8662215313753989, -0.13503151150594564, -0.046275186215990194]","[[-0.8785824106293382, -0.1219399148989796, -0.045624023979900084], [-0.8836697612194272, -0.1422006003890668, -0.04612144814593548]]","[-0.7599156243530346, -0.21763024552537663, -0.022333595135166747]","[-0.34956940168213607, -0.2938169703868476, 0.6887290037120647, 0.5631386869733553]"
obj11,sub8,grasp5,extreme0,"[1.6336265053933245, 1.7164934588645513, 0.9036500225113423, 1.6129588844504974]","[-0.8777186265156152, -0.16106430270842792, -0.061936281247858514]","[[-0.884714976954792, -0.1483598049841439, -0.04193700709758173], [-0.8896630762536264, -0.1694349500090298, -0.04675360243017736]]","[-0.7648694426291105, -0.23965173295261938, -0.018551942359985436]","[-0.30580056547855705, -0.37693365190768713, 0.6552666835380457, 0.5788200149075531]"
obj11,sub8,grasp6,optimal0,"[1.664219629365989, 1.5859062394161023, 0.9052096784386565, 1.6361877363813377]","[-0.7985324990109702, -0.16640242089309465, -0.06372609506383028]","[[-0.8071036633919678, -0.15623427822315702, -0.06782339755273642], [-0.8006716092016384, -0.18274543856548534, -0.06607753216411923], [-0.8668693153168157, -0.20379191973840552, -0.0808142151487735]]","[-0.7778704634560388, -0.16714752761259888, 0.09026468704972573]","[-0.039322777097243876, -0.8880819931460131, 0.450952403530952, 0.08003763115449118]"
obj11,sub8,grasp6,extreme0,"[1.631219629365985, 1.594951932460847, 0.7612096784386521, 1.6381161693718216]","[-0.7943327265358134, -0.15211623530592297, -0.06101008980089734]","[[-0.8002844364334994, -0.138398221516791, -0.062142205931201525], [-0.789673496776318, -0.1670282367089318, -0.060317951102752024], [-0.8581854305696563, -0.20546691053636296, -0.07340200864353591]]","[-0.775168766413725, -0.16353031353990316, 0.09716225423131168]","[0.012730276415673349, -0.9220217818915198, 0.379709467180023, 0.07439418198912008]"
