${lm://Field/1},cube h,h side 3fingerpinch up
${lm://Field/2},cube h,h side equidistant up
${lm://Field/3},cube h,h side equidistant down
${lm://Field/4},cube h,h side hook up
${lm://Field/5},cube h,h side hook 90
${lm://Field/6},cube h,h side 2fingerpinch up
${lm://Field/7},cube h,h top 3fingerpinch up
${lm://Field/8},cube h,h top 3fingerpinch angled
${lm://Field/9},cube h,h top equidistant up
${lm://Field/10},cube h,h top equidistant angled
${lm://Field/11},cube h,h top 2fingerpinch up
${lm://Field/12},cube h,h top 2fingerpinch angled
${lm://Field/1},cylinder h,h side 3fingerpinch up
${lm://Field/2},cylinder h,h side equidistant up
${lm://Field/3},cylinder h,h side equidistant down
${lm://Field/4},cylinder h,h side hook up
${lm://Field/5},cylinder h,h side hook 90
${lm://Field/6},cylinder h,h side 2fingerpinch up
${lm://Field/7},cylinder h,h top 3fingerpinch up
${lm://Field/8},cylinder h,h top equidistant up
${lm://Field/9},cylinder h,h top 2fingerpinch up
${lm://Field/1},cylinder w/e,e side equidistant up
${lm://Field/2},cylinder w/e,w side 3fingerpinch up
${lm://Field/3},cylinder w/e,e side hook up
${lm://Field/4},cylinder w/e,e side hook 90
${lm://Field/5},cylinder w/e,w side 2fingerpinch up
${lm://Field/6},cylinder w/e,e top equidistant up
${lm://Field/7},cylinder w/e,e top equidistant angled
${lm://Field/8},cylinder w/e,w top 3fingerpinch up
${lm://Field/9},cylinder w/e,e top 3fingerpinch up
${lm://Field/10},cylinder w/e,w top 2fingerpinch up
${lm://Field/1},ellipse h,h side equidistant up
${lm://Field/2},ellipse h,h side 3fingerpinch up
${lm://Field/3},ellipse h,h side hook up
${lm://Field/4},ellipse h,h side hook 90
${lm://Field/5},ellipse h,h side 2fingerpinch up
${lm://Field/6},ellipse h,h top equidistant up
${lm://Field/7},ellipse h,h top 3fingerpinch up
${lm://Field/8},ellipse h,h top 2fingerpinch up
${lm://Field/1},cone h,h side equidistant 90
${lm://Field/2},cone h,h side equidistant up
${lm://Field/3},cone h,h side 3fingerpinch up
${lm://Field/4},cone h,h side hook 90
${lm://Field/5},cone h,h side 2fingerpinch up
${lm://Field/6},cone h,h top equidistant up
${lm://Field/7},cone h,h top 3fingerpinch up
${lm://Field/8},cone h,h top 2fingerpinch up
${lm://Field/1},cone w/e,e side equidistant up
${lm://Field/2},cone w/e,e side 3fingerpinch up
${lm://Field/3},cone w/e,e side 2fingerpinch up
${lm://Field/4},cone w/e,e top equidistant 90
${lm://Field/5},cone w/e,e top equidistant up
${lm://Field/6},cone w/e,e top 3fingerpinch up
${lm://Field/7},cone w/e,e top 2fingerpinch up
