obj,sub,JointAngles,ObjTransformation,HandTransformation,grasp,ContactLinkNames,type
2,4,"[ 0.75376894 -1.95567618  1.70233508  1.50739179  0.52052554 -0.70697537
  1.09002024  0.          0.          0.01665465  1.35266426  0.55420067
  0.01665465  1.28449415  0.59538908  1.22515978  0.49509128]","[[ -9.94348053e-01   1.13755745e-04   1.06169381e-01  -7.70280898e-01]
 [  1.02977938e-01  -2.42312594e-01   9.64717654e-01  -1.42153934e-01]
 [  2.58359204e-02   9.70198224e-01   2.40931342e-01  -1.43699840e-01]
 [  0.00000000e+00   0.00000000e+00   0.00000000e+00   1.00000000e+00]]","[[-0.04933443  0.09858253 -0.99390523 -0.69397386]
 [-0.27238232  0.95606912  0.10834991 -0.12453643]
 [ 0.96092351  0.27606759 -0.02031498 -0.087233  ]
 [ 0.          0.          0.          1.        ]]",6,"['palm contact', 'finger_1_dist', 'finger_2_dist', 'finger_3_dist']",extreme0
2,5,"[  7.04352845e-01  -1.84832467e+00   1.14404288e+00   1.14375312e+00
   8.89629786e-01   8.13563316e-01   1.30948326e+00   2.22044605e-16
   2.22044605e-16   2.14319030e-01   1.59945109e+00   6.66209901e-01
   2.14319030e-01   6.25005132e-01   2.16418100e-01   1.31035707e+00
   8.37758041e-01]","[[-0.48037046 -0.02177623  0.87679531 -0.81984699]
 [ 0.8687621   0.12542191  0.47908429 -0.184772  ]
 [-0.12040199  0.99186448 -0.04133062 -0.06793615]
 [ 0.          0.          0.          1.        ]]","[[ 0.13294701  0.85695418 -0.49795042 -0.75640999]
 [ 0.22783103  0.46253247  0.85682947 -0.20828222]
 [ 0.96458183 -0.22736148 -0.13374845  0.10121437]
 [ 0.          0.          0.          1.        ]]",4,"['palm contact', 'finger_1_dist']",optimal0
2,4,"[  7.39634403e-01  -1.97769491e+00   1.64107802e+00   1.52128284e+00
   5.44167824e-01  -7.80432494e-01   9.58712306e-01   2.22044605e-16
   2.22044605e-16   2.40177563e-02   1.20156715e+00   5.10322683e-01
   2.40177563e-02   1.20926773e+00   4.92493736e-01   1.13824442e+00
   8.16251630e-01]","[[-0.08422684 -0.00513862 -0.99643336 -0.7779085 ]
 [-0.93831793 -0.33614087  0.08104792 -0.03991324]
 [-0.33535846  0.9417977   0.02349042 -0.11087396]
 [ 0.          0.          0.          1.        ]]","[[ 0.01576073  0.05425809 -0.99840255 -0.6967759 ]
 [-0.4392192   0.89740529  0.04183592 -0.11621372]
 [ 0.89824167  0.43785821  0.03797496 -0.07513676]
 [ 0.          0.          0.          1.        ]]",6,"['finger_1_med', 'finger_1_dist', 'finger_2_med', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",optimal1
2,5,"[  7.04352845e-01  -1.84832467e+00   1.14404288e+00   1.14375312e+00
   8.89629786e-01   8.13563316e-01   1.30948326e+00   2.22044605e-16
   2.22044605e-16   2.14319030e-01   1.59942041e+00   6.66256944e-01
   2.14319030e-01   6.25005132e-01   2.16385375e-01   1.31035707e+00
   8.37758041e-01]","[[-0.48037046 -0.02177623  0.87679531 -0.80126172]
 [ 0.8687621   0.12542191  0.47908429 -0.20157596]
 [-0.12040199  0.99186448 -0.04133062 -0.1489255 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.13294701  0.85695418 -0.49795042 -0.75640999]
 [ 0.22783103  0.46253247  0.85682947 -0.20828222]
 [ 0.96458183 -0.22736148 -0.13374845  0.10121437]
 [ 0.          0.          0.          1.        ]]",4,"['palm contact', 'finger_2_prox', 'finger_3_dist']",extreme0
2,6,"[  8.11512360e-01  -1.74143472e+00   1.57037925e+00   1.27507892e+00
  -6.40792799e-01   3.64201830e-01   2.34422677e+00   2.22044605e-16
   2.22044605e-16   2.87424172e-01   1.80880879e+00   6.02478113e-01
   2.87424172e-01   1.82197034e+00   6.16543694e-01   1.55330895e+00
   5.25852705e-01]","[[-0.37189476  0.18961641  0.90870232 -0.87855816]
 [ 0.91617381 -0.08257264  0.39218274 -0.20553257]
 [ 0.14939823  0.97837998 -0.14301326 -0.13496689]
 [ 0.          0.          0.          1.        ]]","[[ 0.15128313  0.66319019 -0.73300218 -0.73691373]
 [-0.14653635  0.74838997  0.64686903 -0.22809739]
 [ 0.97756867  0.00955109  0.21040025  0.08320266]
 [ 0.          0.          0.          1.        ]]",5,"['palm contact', 'finger_1_prox', 'finger_1_med', 'finger_2_prox', 'finger_2_dist', 'finger_3_dist']",optimal0
2,6,"[  7.73126317e-01  -1.93762136e+00   1.53170018e+00   1.26314796e+00
   1.10778716e-01   2.60539520e-01  -1.45435352e+00   2.22044605e-16
   2.22044605e-16   1.75312090e-02   1.49026234e+00   4.96222332e-01
   1.75312090e-02   1.32198464e+00   8.10813157e-01   1.12296598e+00
   3.83836763e-01]","[[-0.89728887 -0.18082996  0.40270734 -0.77777547]
 [ 0.43047906 -0.15637062  0.8889522  -0.14869761]
 [-0.09777759  0.97100399  0.21815312 -0.13900413]
 [ 0.          0.          0.          1.        ]]","[[ 0.10366282 -0.67261845 -0.73269259 -0.7253731 ]
 [ 0.10061086 -0.72579137  0.6805177  -0.18109094]
 [-0.98951072 -0.14426122 -0.00756486 -0.04810051]
 [ 0.          0.          0.          1.        ]]",3,"['palm contact', 'finger_1_dist', 'finger_2_prox', 'finger_2_dist', 'finger_3_dist']",optimal0
2,5,"[  7.06726863e-01  -1.90170178e+00   1.13300475e+00   1.15295700e+00
   8.09688828e-01   7.40422479e-01   1.42887279e+00   2.22044605e-16
   2.22044605e-16   2.14406686e-01   1.54005535e+00   5.53701615e-01
   2.14406686e-01   6.23225715e-01   2.15955861e-01   1.30937532e+00
   8.37758041e-01]","[[-0.49256755  0.11866875  0.86214554 -0.85970432]
 [ 0.86483992  0.17728206  0.4697052  -0.16679071]
 [-0.09710361  0.97697943 -0.18995286 -0.09928621]
 [ 0.          0.          0.          1.        ]]","[[ 0.19335376  0.82371933 -0.53301106 -0.75319812]
 [ 0.15778348  0.51008578  0.84552757 -0.20669648]
 [ 0.96835876 -0.24758627 -0.0313423   0.07316529]
 [ 0.          0.          0.          1.        ]]",4,"['finger_1_dist', 'finger_3_dist']",extreme1
2,6,"[  6.15053249e-01  -1.84338336e+00   1.27659167e+00   8.33036789e-01
  -2.84853907e+00  -1.04413486e+00   1.42835907e+00   2.22044605e-16
   2.22044605e-16   1.66546486e-02   2.05943057e+00   6.86125063e-01
   1.66546486e-02   1.99635328e+00   6.75587637e-01   1.64329226e+00
   5.56902521e-01]","[[-0.84115743 -0.13889045 -0.52265058 -0.74239558]
 [-0.51104589 -0.11195334  0.85223151 -0.11329175]
 [-0.17687929  0.98395929  0.023191   -0.10479181]
 [ 0.          0.          0.          1.        ]]","[[ 0.12611253 -0.92991956 -0.3454638  -0.78408391]
 [ 0.15493222 -0.32550756  0.93275979 -0.20593394]
 [-0.97984266 -0.17115617  0.10302391  0.04692752]
 [ 0.          0.          0.          1.        ]]",1,"['palm contact', 'finger_1_med', 'finger_1_dist', 'finger_2_prox', 'finger_2_med', 'finger_2_dist', 'finger_3_med']",optimal0
2,4,"[  4.83423088e-01  -1.65357699e+00   1.85089371e+00   5.17377631e-01
  -2.40929869e-01   1.41086697e+00   1.37051371e+00   2.22044605e-16
   2.22044605e-16   1.41126232e-02   1.76420062e+00   6.23835216e-01
   1.41126232e-02   1.58779283e+00   5.83947625e-01   1.93444181e+00
   6.49959932e-01]","[[-0.63786022 -0.32957969  0.69606866 -0.75448006]
 [ 0.76972224 -0.24261927  0.5904774  -0.09360279]
 [-0.02572969  0.91242157  0.408442   -0.16404726]
 [ 0.          0.          0.          1.        ]]","[[-0.39720501  0.90706685 -0.13949159 -0.80917334]
 [-0.05790448  0.12692289  0.99022101 -0.19353822]
 [ 0.91590133  0.40139793  0.00210883  0.07474765]
 [ 0.          0.          0.          1.        ]]",8,"['palm contact', 'finger_1_med', 'finger_1_dist', 'finger_2_prox', 'finger_2_med', 'finger_2_dist', 'finger_3_dist']",optimal0
2,6,"[ 0.77089839 -1.97025578  1.5815086   1.24755249  0.14999802  0.22875291
 -1.46421703  0.          0.          0.01718058  1.2711792   0.42397184
  0.01718058  1.32051202  0.81243304  1.03243043  0.35459909]","[[-0.89054178  0.03215477 -0.4537636  -0.75097662]
 [-0.45486736 -0.07515553  0.88738229 -0.10811883]
 [-0.00556927  0.99665326  0.08155529 -0.15527177]
 [ 0.          0.          0.          1.        ]]","[[ 0.15425049 -0.64974936 -0.74433363 -0.71792448]
 [ 0.05611529 -0.74637269  0.66315826 -0.1748619 ]
 [-0.98643695 -0.14406099 -0.07866748 -0.08939309]
 [ 0.          0.          0.          1.        ]]",3,"['palm contact', 'finger_1_prox', 'finger_1_med', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",extreme1
