obj,sub,JointAngles,ObjTransformation,HandTransformation,grasp,ContactLinkNames,type
15,4,"[  6.95295054e-01  -1.86651524e+00   1.73216540e+00   7.54803769e-01
  -3.23891346e+00  -9.88864110e-01   1.49072520e+00   2.22044605e-16
   2.22044605e-16   1.72682409e-02   1.36760523e+00   8.37758041e-01
   1.72682409e-02   1.32327319e+00   6.50121511e-01   1.26350930e+00
   8.37758041e-01]","[[-0.34328174 -0.34528487  0.87346208 -0.82692361]
 [ 0.92852024 -0.2648141   0.26023768 -0.15375391]
 [ 0.14144894  0.90036207  0.41150984 -0.15125921]
 [ 0.          0.          0.          1.        ]]","[[ 0.39258777 -0.77978721 -0.48765434 -0.74627262]
 [ 0.19364135 -0.44825643  0.87267932 -0.26591286]
 [-0.89909837 -0.43703327 -0.02498094 -0.08192207]
 [ 0.          0.          0.          1.        ]]",6,"['finger_1_dist', 'finger_2_dist', 'finger_3_dist']",optimal0
15,6,"[  3.51829451e-01  -1.50449578e+00   2.04314874e+00   6.62509258e-01
   1.16827661e+00   1.41418796e+00  -7.13974045e-01   2.22044605e-16
   2.22044605e-16   6.94498845e-01   1.51986816e+00   5.17863733e-01
   6.94498845e-01   1.49237923e+00   5.07195408e-01   1.21353220e+00
   5.93456261e-01]","[[ -3.58867327e-01  -4.24025845e-04   9.33388484e-01  -8.29516947e-01]
 [ -9.33048595e-01   2.71511858e-02  -3.58724313e-01  -9.33550745e-02]
 [ -2.51904958e-02  -9.99631249e-01  -1.01393102e-02  -4.86967303e-02]
 [  0.00000000e+00   0.00000000e+00   0.00000000e+00   1.00000000e+00]]","[[-0.89252396 -0.4462182   0.06550031 -0.82377056]
 [-0.44900183  0.89280456 -0.03601896 -0.12193618]
 [-0.04240666 -0.06155754 -0.99720226  0.09201638]
 [ 0.          0.          0.          1.        ]]",3,"['finger_1_dist', 'finger_2_dist', 'finger_3_dist']",extreme1
15,4,"[  2.48431841e-01  -1.16870331e+00   2.74046664e+00   1.30541765e+00
  -2.50007240e+00  -8.04153846e-01   5.19889001e-01   2.22044605e-16
   2.22044605e-16   8.65165164e-02   1.34545455e+00   8.37758041e-01
   8.65165164e-02   1.29780911e+00   7.59034147e-01   1.49302350e+00
   8.37758041e-01]","[[-0.48266957 -0.85479967 -0.19065048 -0.67650038]
 [ 0.77717081 -0.5184019   0.35674221 -0.08612472]
 [-0.40377669  0.02402062  0.91454218 -0.03586504]
 [ 0.          0.          0.          1.        ]]","[[ 0.61183694 -0.79097929  0.00270524 -0.74302442]
 [-0.78844042 -0.61013999 -0.07804423 -0.06321951]
 [ 0.06338195  0.04561742 -0.99694623  0.11582251]
 [ 0.          0.          0.          1.        ]]",5,"['finger_1_med', 'finger_1_dist', 'finger_2_med', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",optimal0
3,7,"[  8.02198905e-01  -1.83564558e+00   1.88026791e+00   1.27678334e+00
  -4.38212450e+00  -3.30517510e-01   2.75387053e+00   2.22044605e-16
   2.22044605e-16   1.47262156e-02   1.31032639e+00   6.01136391e-01
   1.47262156e-02   1.38800718e+00   4.64370755e-01   9.95338774e-01
   6.35033276e-01]","[[ 0.18173842  0.08740049 -0.9794551  -0.82572412]
 [ 0.97350528  0.12457572  0.19175079 -0.18350989]
 [ 0.13877543 -0.9883532  -0.06244465 -0.03333728]
 [ 0.          0.          0.          1.        ]]","[[ 0.16751279 -0.53874438 -0.8256476  -0.70655575]
 [ 0.17987071 -0.80672311  0.56288929 -0.20847419]
 [-0.96932244 -0.24280097 -0.0382321  -0.08808612]
 [ 0.          0.          0.          1.        ]]",12,"['finger_1_dist', 'finger_2_dist', 'finger_3_dist']",optimal0
3,7,"[  7.08005180e-01  -1.73019458e+00   1.79871346e+00   1.05367436e+00
  -4.22453565e+00  -2.12780531e-01   2.46680139e+00   2.22044605e-16
   2.22044605e-16   1.26312361e-01   1.16211317e+00   8.37758041e-01
   1.26312361e-01   1.64648294e+00   5.49195802e-01   1.39764058e+00
   7.22247242e-01]","[[ 0.45040851 -0.13208814 -0.88299768 -0.85951483]
 [ 0.8649004  -0.18085113  0.46823089 -0.21159869]
 [-0.22153888 -0.97460022  0.0327862   0.0853961 ]
 [ 0.          0.          0.          1.        ]]","[[  1.76007956e-01  -4.16373323e-01  -8.91994650e-01  -7.78504924e-01]
 [  1.69907872e-01  -8.79691129e-01   4.44156315e-01  -2.30409940e-01]
 [ -9.69614622e-01  -2.29731958e-01  -8.40875319e-02   6.56368009e-04]
 [  0.00000000e+00   0.00000000e+00   0.00000000e+00   1.00000000e+00]]",11,"['finger_1_prox', 'finger_1_med', 'finger_1_dist', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",extreme0
3,7,"[  7.70679253e-01  -1.94229118e+00   1.47149220e+00   1.30209403e+00
  -4.06425838e-02   8.20758793e-02  -1.13985150e+00   2.22044605e-16
   2.22044605e-16   1.20088782e-02   1.57751516e+00   5.26501067e-01
   1.20088782e-02   1.48056758e+00   4.93677969e-01   1.60758119e+00
   5.37570273e-01]","[[ 0.70324067 -0.04126652 -0.70975322 -0.82508439]
 [ 0.7109132   0.05122852  0.70141147 -0.17359674]
 [ 0.0074148  -0.99783401  0.06536289  0.02159762]
 [ 0.          0.          0.          1.        ]]","[[-0.02598883 -0.55532692 -0.83122596 -0.73152115]
 [ 0.00877059 -0.83160147  0.55530358 -0.1815447 ]
 [-0.99962376  0.00714134  0.02648289 -0.02695417]
 [ 0.          0.          0.          1.        ]]",7,"['palm contact', 'finger_1_med', 'finger_1_dist', 'finger_3_med', 'finger_3_dist']",extreme1
3,7,"[  7.74295064e-01  -1.62039956e+00   1.65631246e+00   1.38893438e+00
  -9.30114227e-01  -2.04557129e-01  -6.01879401e-01   2.22044605e-16
   2.22044605e-16   1.51644958e-02   9.73863043e-01   3.25381869e-01
   1.51644958e-02   9.52939545e-01   3.18014670e-01   1.54600720e+00
   5.16824716e-01]","[[ 0.67112411 -0.19759871 -0.71452584 -0.86552233]
 [ 0.73053821  0.01230507  0.68276095 -0.13526784]
 [-0.12612039 -0.98020576  0.15261164  0.1170149 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.21305456 -0.48357736 -0.84897626 -0.74422695]
 [-0.14605169 -0.87492643  0.46170624 -0.18778478]
 [-0.96606245  0.0256258  -0.25703435  0.11010809]
 [ 0.          0.          0.          1.        ]]",8,"['finger_1_dist', 'finger_2_dist', 'finger_3_dist']",extreme1
3,7,"[  8.02162382e-01  -1.63967614e+00   1.55587460e+00   1.24780815e+00
  -4.55000000e+00  -1.65258755e-01   2.70753260e+00   2.22044605e-16
   2.22044605e-16   1.33237188e-02   1.31020367e+00   6.01046398e-01
   1.33237188e-02   1.38803786e+00   4.64438250e-01   9.95308094e-01
   6.34998506e-01]","[[ 0.18706785  0.39956235 -0.89741604 -0.90470886]
 [ 0.96438012  0.09922448  0.24520498 -0.24203473]
 [ 0.18702032 -0.91132016 -0.36676828  0.22634549]
 [ 0.          0.          0.          1.        ]]","[[ 0.01666273 -0.46581863 -0.88472332 -0.75692923]
 [ 0.36464673 -0.82107227  0.43917319 -0.24811847]
 [-0.93099684 -0.32992929  0.15617793  0.15271822]
 [ 0.          0.          0.          1.        ]]",12,"['finger_1_dist', 'finger_2_dist', 'finger_3_dist']",extreme0
3,7,"[  7.74587251e-01  -1.71091801e+00   1.80619385e+00   1.39847915e+00
  -8.41554512e-01  -1.64388972e-01  -7.14590514e-01   2.22044605e-16
   2.22044605e-16   2.35794761e-02   9.73955082e-01   3.25404367e-01
   2.35794761e-02   9.52878186e-01   3.17945130e-01   1.54609924e+00
   5.16896302e-01]","[[ 0.66431042 -0.14065464 -0.73410349 -0.8376072 ]
 [ 0.74660333  0.17178603  0.64270757 -0.13384965]
 [ 0.03570892 -0.97504145  0.21913247 -0.03149166]
 [ 0.          0.          0.          1.        ]]","[[ 0.34858413 -0.50420701 -0.79010404 -0.72305033]
 [-0.15021923 -0.86213469  0.4838987  -0.17929941]
 [-0.92516122 -0.04999059 -0.37626806 -0.00363464]
 [ 0.          0.          0.          1.        ]]",8,"['finger_1_dist', 'finger_2_dist', 'finger_3_dist']",optimal0
3,7,"[  9.18854492e-01  -1.76497386e+00   1.72048870e+00   1.43819221e+00
  -3.53282101e+00  -7.12431283e-02   4.87832604e-01   4.44089210e-16
   4.44089210e-16   9.29154077e-03   1.51097108e+00   6.22399410e-01
   9.29154077e-03   1.50081612e+00   5.00803821e-01   4.75994238e-01
   1.88747132e-01]","[[ 0.68294927  0.32235845 -0.65548862 -0.82399613]
 [ 0.71384427 -0.10419059  0.69251042 -0.20518282]
 [ 0.15494084 -0.94086628 -0.30127062 -0.00326657]
 [ 0.          0.          0.          1.        ]]","[[ 0.56084945  0.1584912  -0.81260595 -0.68491089]
 [ 0.82332627 -0.00354372  0.5675573  -0.25112946]
 [ 0.08707319 -0.98735403 -0.13247746  0.00643468]
 [ 0.          0.          0.          1.        ]]",10,"['finger_1_dist', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",optimal0
3,7,"[  7.74514204e-01  -1.70567804e+00   1.79775561e+00   1.38578120e+00
  -8.83383163e-01  -1.64309901e-01  -6.88082340e-01   2.22044605e-16
   2.22044605e-16   2.32288519e-02   9.73893723e-01   3.25383914e-01
   2.32288519e-02   9.52816827e-01   3.18006489e-01   1.54606856e+00
   5.16730632e-01]","[[ 0.64431136  0.06276699 -0.76218317 -0.84438896]
 [ 0.76365253 -0.10649929  0.6367831  -0.11754215]
 [-0.04120301 -0.99232969 -0.11655087  0.033508  ]
 [ 0.          0.          0.          1.        ]]","[[ 0.35159008 -0.49227025 -0.79627534 -0.72653365]
 [-0.13574312 -0.86840012  0.47692247 -0.18348882]
 [-0.92626034 -0.05959231 -0.37214317  0.0024039 ]
 [ 0.          0.          0.          1.        ]]",8,"['finger_1_dist', 'finger_2_dist', 'finger_3_dist']",extreme0
3,7,"[ 0.36987199 -1.15689302  2.78913476  1.44594733 -2.26918457 -0.64047651
 -0.53098545  0.          0.          0.26524719  1.4131031   0.50569006
  0.26524719  1.34882931  0.44951978  1.17140909  0.46382261]","[[ 0.67060278  0.03477701 -0.74100099 -0.70945179]
 [ 0.74172068 -0.01536939  0.67053278 -0.23613447]
 [ 0.01193039 -0.99927691 -0.03610159  0.00453702]
 [ 0.          0.          0.          1.        ]]","[[ 0.9969317   0.04234226 -0.06583551 -0.70414418]
 [ 0.03031801 -0.98428793 -0.17394853 -0.15711838]
 [-0.07216647  0.1714188  -0.98255157  0.09160274]
 [ 0.          0.          0.          1.        ]]",9,"['finger_1_dist', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",optimal0
3,7,"[ 0.77067925 -1.94177533  1.47080802  1.30286102 -0.03898209  0.0812061
 -1.13604994  0.          0.          0.01227185  1.57754584  0.52651948
  0.01227185  1.48059826  0.49364729  1.60755051  0.53761731]","[[ 0.70459825  0.07093862 -0.70605171 -0.82449412]
 [ 0.70687157  0.01710546  0.70713505 -0.1726359 ]
 [ 0.06224052 -0.997334   -0.03809202  0.02986193]
 [ 0.          0.          0.          1.        ]]","[[-0.02967087 -0.55494032 -0.83136086 -0.73157594]
 [ 0.00421794 -0.83178916  0.55507568 -0.18150353]
 [-0.99955082  0.01296294  0.02702062 -0.02630202]
 [ 0.          0.          0.          1.        ]]",7,"['palm contact', 'finger_1_prox', 'finger_1_med', 'finger_1_dist', 'finger_2_prox', 'finger_2_med', 'finger_3_med', 'finger_3_dist']",optimal0
3,7,"[ 0.78926964 -1.64163094  1.55651317  1.24260966 -4.55       -0.27247927
  2.78674889  0.          0.          0.01393731  1.29142775  0.61977324
  0.01393731  1.38806854  0.46440757  0.99457178  0.63517849]","[[ 0.19173832  0.15229935 -0.96955728 -0.89968622]
 [ 0.94700201  0.23070958  0.22351798 -0.24350744]
 [ 0.2577278  -0.96102966 -0.09999192  0.27368462]
 [ 0.          0.          0.          1.        ]]","[[-0.10340326 -0.50410726 -0.8574285  -0.75917771]
 [ 0.34419761 -0.82692354  0.44466332 -0.24011987]
 [-0.93318582 -0.24914521  0.2590191   0.15723633]
 [ 0.          0.          0.          1.        ]]",12,"['finger_1_dist', 'finger_2_dist', 'finger_3_dist']",extreme1
3,7,"[  7.70679253e-01  -1.94153098e+00   1.47039751e+00   1.30192358e+00
  -4.04844414e-02   8.20758793e-02  -1.14355031e+00   2.22044605e-16
   2.22044605e-16   1.15705979e-02   1.57754584e+00   5.26519475e-01
   1.15705979e-02   1.48059826e+00   4.93647289e-01   1.60755051e+00
   5.37600952e-01]","[[ 0.70324069 -0.04126648 -0.7097532  -0.82524848]
 [ 0.71091318  0.05122844  0.7014115  -0.17383578]
 [ 0.00741477 -0.99783402  0.06536281  0.06485224]
 [ 0.          0.          0.          1.        ]]","[[-0.02521946 -0.55495366 -0.8314989  -0.73173767]
 [ 0.01186517 -0.83187103  0.55484215 -0.18184483]
 [-0.99961152  0.00412695  0.02756396 -0.02609557]
 [ 0.          0.          0.          1.        ]]",7,"['palm contact', 'finger_1_med', 'finger_1_dist', 'finger_2_med', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",extreme0
3,7,"[  3.69871987e-01  -1.10047510e+00   2.77517746e+00   1.44560645e+00
  -2.30792945e+00  -6.78588821e-01  -4.90503971e-01   2.22044605e-16
   2.22044605e-16   2.65685472e-01   1.41313378e+00   5.05675744e-01
   2.65685472e-01   1.34882931e+00   4.49519775e-01   1.17140909e+00
   4.63822612e-01]","[[ 0.67044535 -0.01103181 -0.74187689 -0.71342373]
 [ 0.74172071 -0.01536938  0.67053275 -0.23845863]
 [-0.01879938 -0.99982102 -0.00212181 -0.0047817 ]
 [ 0.          0.          0.          1.        ]]","[[ 0.99622791  0.03659649 -0.07868062 -0.70669208]
 [ 0.02200927 -0.98363201 -0.17883978 -0.15338844]
 [-0.08393769  0.17643348 -0.98072712  0.13311453]
 [ 0.          0.          0.          1.        ]]",9,"['finger_1_dist', 'finger_2_dist', 'finger_3_dist']",extreme0
3,7,"[  7.08187797e-01  -1.72992308e+00   1.79834856e+00   1.05222560e+00
  -4.20793070e+00  -1.95701157e-01   2.53440751e+00   4.44089210e-16
   4.44089210e-16   1.26750641e-01   1.16211317e+00   8.37758041e-01
   1.26750641e-01   1.64660566e+00   5.49138533e-01   1.39767126e+00
   7.22200200e-01]","[[ 0.44558337 -0.05452956 -0.89357819 -0.86715466]
 [ 0.84519645 -0.30342373  0.43997386 -0.20409676]
 [-0.2951244  -0.95129416 -0.08911238  0.06326102]
 [ 0.          0.          0.          1.        ]]","[[  1.54111237e-01  -4.22161376e-01  -8.93324968e-01  -7.78696429e-01]
 [  8.85204716e-02  -8.94591077e-01   4.38030743e-01  -2.31363581e-01]
 [ -9.84080206e-01  -1.46583007e-01  -1.00496613e-01  -2.79289526e-05]
 [  0.00000000e+00   0.00000000e+00   0.00000000e+00   1.00000000e+00]]",11,"['finger_1_prox', 'finger_1_med', 'finger_1_dist', 'finger_2_med', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",optimal0
3,7,"[ 0.38312996 -1.11348     2.78078775  1.37683298 -2.49493277 -0.7085568
 -0.59427628  0.          0.          0.26366938  1.41279631  0.50563688
  0.26366938  1.34876795  0.44956477  1.17143977  0.46375921]","[[ 0.67002917 -0.01100214 -0.74225323 -0.71571696]
 [ 0.73861151 -0.09013856  0.6680779  -0.22719349]
 [-0.07425592 -0.99586846 -0.05226916  0.06070179]
 [ 0.          0.          0.          1.        ]]","[[ 0.94725053  0.3161444  -0.05262276 -0.71608383]
 [ 0.31039586 -0.94584505 -0.09503446 -0.16717237]
 [-0.07981759  0.07368756 -0.99408214  0.13661862]
 [ 0.          0.          0.          1.        ]]",9,"['palm contact', 'finger_1_dist', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",extreme1
22,14,"[ -2.52011129e-02  -1.62230007e+00   3.01496031e-02   2.74923446e-01
   1.20298885e+00  -3.89662749e-01  -2.73609567e+00   2.22044605e-16
   2.22044605e-16   1.42616385e+00   1.42881107e+00   4.83126226e-01
   1.42616385e+00   1.49480292e+00   6.41447361e-01   2.25200652e+00
   8.37758041e-01]","[[-0.03594214  0.02418921  0.99906108 -1.09005737]
 [ 0.99373284  0.10674766  0.03316588 -0.10250434]
 [-0.10584518  0.99399186 -0.02787435  0.22741756]
 [ 0.          0.          0.          1.        ]]","[[-0.32909116 -0.0739484  -0.94139824 -0.91024902]
 [ 0.94422543 -0.03814171 -0.32708339  0.00440219]
 [-0.01171925 -0.99653241  0.08237606  0.23011876]
 [ 0.          0.          0.          1.        ]]",9,"['palm contact', 'finger_1_dist', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",optimal0
22,14,"[ -5.80721298e-03  -1.63337731e+00  -1.30906749e-02   6.79468268e-01
   6.38895091e-01  -6.02996778e-01  -2.29881354e+00   2.22044605e-16
   2.22044605e-16   9.99278913e-03   2.16487641e+00   8.37758041e-01
   9.99278913e-03   1.37561261e+00   8.37758041e-01   1.16045647e+00
   4.09456288e-01]","[[-0.61097568  0.06533912  0.78894836 -1.01589   ]
 [ 0.74959622 -0.27274421  0.60308881 -0.14473231]
 [ 0.25458638  0.9598653   0.11766212  0.28999209]
 [ 0.          0.          0.          1.        ]]","[[-0.30619863 -0.16884136 -0.93687512 -0.87868771]
 [ 0.92471868  0.18102741 -0.33484986 -0.01791322]
 [ 0.22613658 -0.9688765   0.10070041  0.33938383]
 [ 0.          0.          0.          1.        ]]",2,"['palm contact', 'finger_1_med', 'finger_1_dist', 'finger_2_dist', 'finger_3_dist']",optimal0
22,14,"[  1.65085551e-02  -1.61923211e+00   2.42656412e-02   3.31851177e-01
   4.45249784e-01  -7.28008305e-01  -2.28453200e+00   2.22044605e-16
   2.22044605e-16   3.01922481e+00   2.11075756e+00   8.37758041e-01
   3.01922481e+00   1.22718463e-03   8.27940564e-03   4.29514621e-03
   2.54436280e-03]","[[-0.04073072 -0.31441427  0.94841166 -1.06754708]
 [ 0.99432358 -0.10613246  0.00751779 -0.13877326]
 [ 0.09829356  0.94333428  0.31695238  0.12723567]
 [ 0.          0.          0.          1.        ]]","[[-0.3996551   0.2566407  -0.88000645 -0.90487213]
 [ 0.8920532   0.32985443 -0.30892902 -0.03017215]
 [ 0.21099027 -0.90847763 -0.36076516  0.22332874]
 [ 0.          0.          0.          1.        ]]",8,"['palm contact', 'finger_1_med', 'finger_1_dist']",optimal0
22,14,"[ -6.96135091e-02  -1.63117815e+00   1.82448430e-04   6.37283796e-01
   1.12826659e+00  -7.37338703e-01  -2.34124717e+00   2.22044605e-16
   2.22044605e-16   4.68959841e-01   1.36189882e+00   5.12175732e-01
   4.68959841e-01   1.43304485e+00   6.22489404e-01   1.31977571e+00
   4.66317888e-01]","[[ 0.03729746  0.13690392  0.98988192 -1.03717923]
 [ 0.98212864  0.1778442  -0.06160177 -0.10155484]
 [-0.18447828  0.97448897 -0.12782412  0.3438096 ]
 [ 0.          0.          0.          1.        ]]","[[-0.57043422 -0.07548474 -0.81786726 -0.87476939]
 [ 0.81483131 -0.17715201 -0.55196657  0.02448899]
 [-0.10322177 -0.98128447  0.1625609   0.33339375]
 [ 0.          0.          0.          1.        ]]",5,"['palm contact', 'finger_1_prox', 'finger_1_dist', 'finger_2_prox', 'finger_2_dist', 'finger_3_dist']",optimal0
22,14,"[ 0.00471151 -1.64206535  0.00871191  0.35741752 -0.05155441 -0.21649688
 -1.57672265  0.          0.          3.0350029   1.99954396  0.73846858
  3.0350029   2.0204061   0.83775804  1.96490667  0.69782218]","[[-0.00230874 -0.98749229  0.15765041 -0.98745859]
 [ 0.99949204 -0.00728978 -0.03102453 -0.0633259 ]
 [ 0.03178572  0.1574987   0.98700751  0.22558646]
 [ 0.          0.          0.          1.        ]]","[[ 0.01086881 -0.06933307 -0.99753436 -0.91215803]
 [ 0.99885158  0.04730567  0.00759521 -0.00262082]
 [ 0.04666243 -0.99647132  0.06976761  0.23741057]
 [ 0.          0.          0.          1.        ]]",7,"['palm contact', 'finger_1_prox', 'finger_1_dist', 'finger_2_prox', 'finger_2_dist', 'finger_3_dist']",optimal0
22,14,"[ 0.10000094 -1.72416726 -0.10595693  0.81599256  0.09306677 -0.73749685
 -1.57425677  0.          0.          0.02103745  1.3443194   0.56472173
  0.02103745  1.38107358  0.64366652  1.3379994   0.4506631 ]","[[-0.67257339 -0.06314788  0.73733125 -0.9920128 ]
 [ 0.74002969 -0.05879706  0.66999923 -0.22409868]
 [ 0.00104388  0.99627067  0.08627665  0.24538305]
 [ 0.          0.          0.          1.        ]]","[[-0.17271453  0.07237861 -0.98230903 -0.8668302 ]
 [ 0.98436405  0.04771591 -0.16956005 -0.11596651]
 [ 0.03459924 -0.99623518 -0.07948813  0.28946769]
 [ 0.          0.          0.          1.        ]]",1,"['palm contact', 'finger_1_prox', 'finger_1_dist', 'finger_2_prox', 'finger_2_dist', 'finger_3_dist']",optimal0
22,14,"[  5.98982974e-02  -1.61344914e+00   5.39591232e-02   5.27604170e-01
   1.20884012e+00  -1.49302192e+00  -3.00000000e+00   2.22044605e-16
   2.22044605e-16   9.90513309e-03   2.22169505e+00   8.37758041e-01
   9.90513309e-03   1.63350546e+00   6.85546241e-01   1.15938268e+00
   4.43582247e-01]","[[-0.07101281  0.17021303  0.98284521 -0.90263408]
 [ 0.92412541 -0.35963523  0.12905322 -0.28038093]
 [ 0.3754323   0.91743666 -0.13175948  0.200725  ]
 [ 0.          0.          0.          1.        ]]","[[-0.92866273 -0.32517515 -0.17845629 -0.84750785]
 [ 0.08821415  0.2736917  -0.9577636  -0.09915751]
 [ 0.36028293 -0.90518174 -0.22548223  0.29378788]
 [ 0.          0.          0.          1.        ]]",10,"['palm contact', 'finger_1_med', 'finger_1_dist', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",optimal0
22,14,"[  1.59132245e-01  -1.56314000e+00   1.32913681e-01   6.03024892e-01
   1.13253643e+00  -1.27470641e+00  -3.00000000e+00   2.22044605e-16
   2.22044605e-16   3.12055520e-02   1.16398462e+00   5.71336258e-01
   3.12055520e-02   1.39515553e+00   5.85651366e-01   1.45783398e+00
   4.89773477e-01]","[[-0.08493296  0.236318    0.96795671 -0.95271552]
 [ 0.98949916 -0.09402239  0.10977792 -0.42698058]
 [ 0.11695211  0.96711612 -0.22585086  0.34375972]
 [ 0.          0.          0.          1.        ]]","[[-0.8309409  -0.45129202 -0.3253809  -0.8341191 ]
 [ 0.26083809  0.20058178 -0.9443148  -0.16349147]
 [ 0.49142721 -0.86954153 -0.04895746  0.36586268]
 [ 0.          0.          0.          1.        ]]",10,"['finger_1_dist', 'finger_2_dist', 'finger_3_dist']",extreme0
22,14,"[  3.04677803e-01  -1.54671419e+00   9.71948399e-01   4.94538362e-01
  -2.37055382e-01  -8.53494259e-01  -1.69405728e+00   2.22044605e-16
   2.22044605e-16   1.08693496e-02   1.68296100e+00   8.37758041e-01
   1.08693496e-02   1.71020450e+00   8.37758041e-01   1.96653269e+00
   6.83793412e-01]","[[-0.10314036  0.94133632 -0.32132228 -0.95846123]
 [ 0.10503263  0.33154628  0.93757411 -0.29928833]
 [ 0.98910576  0.06295241 -0.13306684  0.15515383]
 [ 0.          0.          0.          1.        ]]","[[-0.18931789  0.51097633 -0.83848788 -0.88172037]
 [ 0.77484241 -0.44678303 -0.44721825 -0.16032955]
 [-0.6031401  -0.73436239 -0.31134211  0.27071376]
 [ 0.          0.          0.          1.        ]]",11,"['palm contact', 'finger_1_dist', 'finger_2_dist', 'finger_3_dist']",optimal0
22,14,"[ -4.86125816e-02  -1.63519637e+00  -6.02079819e-03   5.71322622e-01
   1.05014427e+00  -7.45878390e-01  -2.28905278e+00   2.22044605e-16
   2.22044605e-16   4.69485777e-01   2.23752574e+00   8.37758041e-01
   4.69485777e-01   1.68096683e+00   6.80398201e-01   1.26215939e+00
   5.45941717e-01]","[[-0.41863276  0.3782243   0.82564701 -1.01585197]
 [ 0.48485532 -0.67564898  0.55535014 -0.13098517]
 [ 0.76789448  0.63280711  0.09946473  0.23867196]
 [ 0.          0.          0.          1.        ]]","[[-0.55180457  0.02889351 -0.83347279 -0.88494594]
 [ 0.82226465 -0.14803093 -0.54951587  0.00662858]
 [-0.13925719 -0.98856057  0.05792603  0.30528949]
 [ 0.          0.          0.          1.        ]]",3,"['palm contact', 'finger_1_prox', 'finger_1_med', 'finger_1_dist', 'finger_2_dist', 'finger_3_dist']",optimal0
22,14,"[  9.13083802e-03  -1.64201105e+00   8.62068832e-03   3.88778909e-01
  -7.22710536e-02  -1.68421602e-01  -1.30568170e+00   2.22044605e-16
   2.22044605e-16   2.62389605e+00   2.00052570e+00   8.37758041e-01
   2.62389605e+00   1.71870275e+00   8.37758041e-01   1.97674900e+00
   7.01671447e-01]","[[-0.08002942 -0.93609952  0.34250982 -1.03173518]
 [ 0.99565108 -0.09150969 -0.01746169 -0.01534909]
 [ 0.04768885  0.33962282  0.93935197  0.12910034]
 [ 0.          0.          0.          1.        ]]","[[-0.0253052  -0.14681157 -0.98884074 -0.91016281]
 [ 0.97932597 -0.20222765  0.0049627  -0.00646196]
 [-0.20069952 -0.96827183  0.14889379  0.25160632]
 [ 0.          0.          0.          1.        ]]",6,"['palm contact', 'finger_2_prox', 'finger_2_med', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",optimal0
22,14,"[  1.40980139e-02  -1.61977511e+00   2.31709506e-02   4.29855505e-01
   2.56981318e-01  -1.77435716e-01   1.24701439e+00   2.22044605e-16
   2.22044605e-16   3.04324257e+00   1.99954396e+00   7.38468578e-01
   3.04324257e+00   2.02040610e+00   8.37758041e-01   1.96490667e+00
   6.97822178e-01]","[[ 0.02969468  0.99457957 -0.09964791 -1.02589679]
 [ 0.14047312  0.09455015  0.98555952 -0.08189349]
 [ 0.98963909 -0.04326372 -0.13690406  0.20956518]
 [ 0.          0.          0.          1.        ]]","[[ 0.04205052  0.21080176 -0.97662397 -0.90532714]
 [-0.99758523 -0.04522121 -0.05271393 -0.01210907]
 [-0.05527631  0.97648229  0.20839114  0.28623242]
 [ 0.          0.          0.          1.        ]]",7,"['palm contact', 'finger_1_dist', 'finger_2_prox', 'finger_2_dist', 'finger_3_dist']",extreme0
22,14,"[ -3.98104538e-03  -1.65716080e+00  -3.78124371e-02   7.82330202e-01
   2.69237350e-01  -6.14462098e-01  -1.87386079e+00   2.22044605e-16
   2.22044605e-16   7.97670010e-03   1.53723283e+00   8.37758041e-01
   7.97670010e-03   1.71170780e+00   8.37758041e-01   1.14612909e+00
   8.37758041e-01]","[[-0.60355081  0.21200135  0.76862335 -1.04636025]
 [ 0.60956901 -0.4987098   0.61620951 -0.08019829]
 [ 0.51395724  0.84044272  0.17176725  0.28793195]
 [ 0.          0.          0.          1.        ]]","[[-0.14340212 -0.11044183 -0.98348281 -0.86993534]
 [ 0.98070059  0.11759026 -0.15620143 -0.01463305]
 [ 0.13289917 -0.98690178  0.09144768  0.34652128]
 [ 0.          0.          0.          1.        ]]",1,"['finger_1_dist', 'finger_2_dist', 'finger_3_med', 'finger_3_dist']",extreme0
