obj,sub,array3,ObjRotation,grasp,type,HandRotation,HandPosition,ObjPosition
obj11,sub8,"[[-0.7963457  -0.14581375 -0.06275324]
 [-0.78128742 -0.16493297 -0.06495137]]",[ 0.01675751 -0.92254607  0.37977417  0.06632888],grasp6,extreme1,[ 1.68521963  1.57095193  0.90506346  1.63662602],[-0.77988648 -0.1527094  -0.0528307 ],[-0.77398856 -0.16309514  0.09382165]
obj2,sub5,"[[-0.79834626 -0.11844005 -0.00658235]
 [-0.84571487 -0.1059512   0.05745406]]",[ 0.61797549 -0.3521436  -0.68211893 -0.16974962],grasp1,optimal0,[ 1.78608629  1.88362659  1.64261617  0.00859029],[-0.81859826 -0.09394878  0.00832486],[-0.74785073 -0.16247068  0.05076107]
obj2,sub5,"[[-0.79591141 -0.10237188  0.04776014]
 [-0.84477963 -0.08913083  0.03308954]]",[ 0.52935801 -0.43131143 -0.62133852 -0.38430326],grasp2,optimal0,[ 1.80775898  1.26262677  1.85022398  0.38630019],[-0.82250056 -0.08308017  0.02307779],[-0.78481654 -0.1751894   0.09358897]
obj2,sub5,"[[-0.79716449 -0.10692625  0.07325627]
 [-0.84119359 -0.08871146  0.03635059]]",[ 0.53075797 -0.41950911 -0.62106369 -0.39571198],grasp2,extreme0,[ 1.79501115  0.00706719  1.83863051  0.38533597],[-0.82007553 -0.08509816  0.04358566],[-0.78348933 -0.18378186  0.09361402]
obj2,sub5,"[[-0.80812032 -0.10657258  0.06767223]
 [-0.83981804 -0.08924698  0.0186346 ]]",[ 0.53730288 -0.3687979  -0.61598169 -0.44256104],grasp2,extreme1,[ 1.76335158  0.00706719  1.88468806  0.38507301],[-0.81909679 -0.08013637  0.01899665],[-0.78158794 -0.18125655  0.07062579]
obj2,sub5,"[[-0.86735309 -0.07770157  0.13346127]
 [-0.87234422 -0.04938817  0.11638764]]",[ 0.65425626 -0.50256366 -0.54312116 -0.1561983 ],grasp3,extreme0,[ 1.63718789  1.51263189  1.0503514   0.01288544],[-0.84487901 -0.06304136  0.06671647],[-0.78219863 -0.16953977  0.09504867]
obj2,sub5,[-0.85894633 -0.07933283  0.04690208],[ 0.60451035 -0.44837568 -0.60484169 -0.26017882],grasp4,optimal0,[ 1.33619435  0.62659177  1.59966019  0.21431903],[-0.8094964  -0.10195547  0.08332294],[-0.75640999 -0.20828222  0.10121437]
obj2,sub5,"[[-0.78378987 -0.13103556  0.10852505]
 [-0.81875177 -0.05453192  0.07847075]]",[ 0.60451035 -0.44837568 -0.60484169 -0.26017882],grasp4,extreme0,[ 1.68720654  0.6265674   1.31166019  0.21431903],[ -7.97801781e-01  -1.10801303e-01  -4.35618330e-04],[-0.75640999 -0.20828222  0.10121437]
obj2,sub5,"[[-0.85134348 -0.0745642   0.0508381 ]
 [-0.81724516 -0.04942185  0.06402958]]",[ 0.646548   -0.42267312 -0.58053301 -0.25749668],grasp4,extreme1,[ 1.43618072  0.62492245  1.2479291   0.21440669],[-0.82807322 -0.07625656  0.04440814],[-0.75319812 -0.20669648  0.07316529]
obj2,sub6,"[[-0.82484073 -0.13426423  0.0162944 ]
 [-0.82426176 -0.07025906  0.08287273]]",[ 0.47529698 -0.58064537  0.33367499  0.57061785],grasp1,optimal0,[ 1.5945627   1.44974323  1.60512377  0.01665465],[-0.83459953 -0.09754219  0.05203581],[-0.78408391 -0.20593394  0.04692752]
obj2,sub6,"[[-0.78934838 -0.13222954 -0.00272979]
 [-0.7959503  -0.0906306   0.06755686]]",[ 0.35143968 -0.61131995  0.22287139  0.67313179],grasp2,optimal0,[ 1.74129299  1.75674641  1.63815049  0.01656699],[-0.81241021 -0.11228986  0.02665913],[-0.73342034 -0.19447724  0.02660105]
