Shape,height,width,extent,obj_or,grasp,approach,hand_or,Yes Count,Total Count
cube,19.1,8.98,13.61,h,equidistant,side,up,9,16
cube,17.47,12.89,13.91,h,equidistant,side,up,14,16
cube,16.77,10.21,15.05,h,equidistant,side,up,11,16
cube,11.89,14.65,14.65,h,equidistant,side,up,11,16
cube,14.67,10.33,10.33,h,equidistant,side,up,15,16
cube,8.11,11.35,11.35,h,equidistant,side,up,12,16
cube,12.78,8.68,8.68,h,equidistant,side,up,14,16
cube,14.22,13.32,13.32,h,equidistant,side,up,13,16
cube,10.0,13.0,13.0,h,equidistant,side,up,12,16
cube,16.55,11.98,11.98,h,equidistant,side,up,14,16
cube,12.33,11.67,11.67,h,equidistant,side,up,13,16
cube,10.45,10.02,10.02,h,equidistant,side,up,10,16
cube,11.89,14.65,19.35,h,equidistant,side,up,6,16
cube,16.55,11.98,22.02,h,equidistant,side,up,4,16
cube,12.33,11.67,22.33,h,equidistant,side,up,4,16
cube,10.0,13.0,21.0,h,equidistant,side,up,2,16
cube,14.67,10.33,23.67,h,equidistant,side,up,4,16
cube,10.45,10.02,23.98,h,equidistant,side,up,4,16
cube,12.78,8.68,25.32,h,equidistant,side,up,5,16
cube,8.11,11.35,22.65,h,equidistant,side,up,5,16
cube,14.22,13.32,20.68,h,equidistant,side,up,6,16
cube,14.35,21.09,24.32,h,equidistant,side,up,1,16
cube,14.93,18.19,23.82,h,equidistant,side,up,1,16
cube,15.51,15.29,23.31,h,equidistant,side,up,3,16
cube,12.33,17.93,22.33,h,equidistant,side,up,2,16
cube,9.16,20.57,21.36,h,equidistant,side,up,2,16
cube,9.74,17.67,20.85,h,equidistant,side,up,3,16
cube,10.32,14.77,20.34,h,equidistant,side,up,4,16
cube,11.75,20.83,22.84,h,equidistant,side,up,1,16
cube,12.91,15.03,21.83,h,equidistant,side,up,5,16
cube,12.91,15.03,12.17,h,equidistant,side,up,16,16
cube,10.32,14.77,13.66,h,equidistant,side,up,14,16
cube,9.74,17.67,13.15,h,equidistant,side,up,8,16
cube,15.51,15.29,10.69,h,equidistant,side,up,15,16
cube,14.93,18.19,10.18,h,equidistant,side,up,11,16
cube,11.75,20.83,11.16,h,equidistant,side,up,5,16
cube,14.35,21.09,9.68,h,equidistant,side,up,4,16
cube,12.33,17.93,11.67,h,equidistant,side,up,9,16
cube,9.16,20.57,12.64,h,equidistant,side,up,3,16
cube,10.55,17.18,13.98,h,equidistant,side,up,13,16
cube,13.34,14.28,12.64,h,equidistant,side,up,16,16
cube,13.13,17.27,12.47,h,equidistant,side,up,14,16
cube,15.72,17.36,10.95,h,equidistant,side,up,10,16
cube,12.93,20.25,12.29,h,equidistant,side,up,4,16
cube,10.75,14.19,14.16,h,equidistant,side,up,15,16
cube,15.51,20.34,10.77,h,equidistant,side,up,3,16
cube,15.93,14.37,11.13,h,equidistant,side,up,16,16
cube,10.34,20.17,13.81,h,equidistant,side,up,5,16
