Shape,Question Type,Grasp Choice,A1PTH9KTRO06EG,A3LJ2FHESYV9QQ,A2XNO2KWLLGW6Z,A1WJU1IQ3UTRC6,A24F1UPER626KR,A32QJF67JMJFKX,A3DQ2CLPS08PBF,A1GXFMAC759VRM,A36SM7QM8OK3H6,A2ZRF4I5RTKN7G
Ellipse h,Viable,h top 2fingerpinch up,,,,,1,1,1,1,1,1
Ellipse h,Rank,h side 3fingerpinch up,4,,2,,5,6,5,5,5,6
Ellipse h,Rank,None,,,,,,,,,,
Ellipse h,Rank,h top 3fingerpinch up,,,,,2,3,,6,,5
Ellipse h,Rank,h side hook 90,,,3,,,,,,,
Ellipse h,Rank,h side equidistant up,2,,,,3,5,3,1,2,3
Ellipse h,Rank,h top equidistant up,1,,,,1,1,1,2,4,1
Ellipse h,Rank,h side hook up,,,,,,,,,,
Ellipse h,Rank,h side 2fingerpinch up,3,,1,,4,4,4,4,3,4
Ellipse h,Rank,h top 2fingerpinch up,,,,,6,2,2,3,1,2
Cube h,Confidence,h side 3fingerpinch up,,35,95,67,79,70,65,99,82,95
Cube h,Confidence,h top equidistant angled,93,,,,,70,99,,48,
Cube h,Confidence,None,,,,,,,,,,
Cube h,Confidence,h top 3fingerpinch angled,,,,,,70,99,,,
Cube h,Confidence,h side equidistant up,82,,,,40,70,100,,54,94
Cube h,Confidence,h side equidistant down,58,,,,,,100,,,
Cube h,Confidence,h top equidistant up,95,84,,,,70,99,90,46,
Cube h,Confidence,h top 2fingerpinch angled,,,61,,,,100,85,,
Cube h,Confidence,h top 3fingerpinch up,48,69,92,,48,70,100,75,83,95
Cube h,Confidence,h side hook up,,,,,,,,,,
Cube h,Confidence,h side 2fingerpinch up,86,50,79,,89,70,100,,,94
Cube h,Confidence,h top 2fingerpinch up,,80,91,,65,70,100,85,40,99
Cube h,Confidence,h side hook 90,,,,,,,,10,,
Cube h,Viable,h side 3fingerpinch up,,1,1,1,1,1,1,1,1,1
Cube h,Viable,h top equidistant angled,1,,,,,1,1,,1,
Cube h,Viable,None,,,,,,,,,,
Cube h,Viable,h top 3fingerpinch angled,,,,,,1,1,,,
Cube h,Viable,h side equidistant up,1,,,,1,1,1,,1,1
Cube h,Viable,h side equidistant down,1,,,,,,1,,,
Cube h,Viable,h top equidistant up,1,1,,,,1,1,1,1,
Cube h,Viable,h top 2fingerpinch angled,,,1,,,,1,1,,
Cube h,Viable,h top 3fingerpinch up,1,1,1,,1,1,1,1,1,1
Cube h,Viable,h side hook up,,,,,,,,,,
Cube h,Viable,h side 2fingerpinch up,1,1,1,,1,1,1,,,1
Cube h,Viable,h top 2fingerpinch up,,1,1,,1,1,1,1,1,1
Cube h,Viable,h side hook 90,,,,,,,,1,,
Cube h,Rank,h side 3fingerpinch up,,3,2,,3,8,1,1,3,4
Cube h,Rank,h top equidistant angled,1,,,,,6,9,,5,
Cube h,Rank,None,,,,,,,,,,
Cube h,Rank,h top 3fingerpinch angled,,,,,,4,6,,,
Cube h,Rank,h side equidistant up,4,,,,5,1,2,,2,5
Cube h,Rank,h side equidistant down,5,,,,,,3,,,
Cube h,Rank,h top equidistant up,2,1,,,,5,7,2,6,
Cube h,Rank,h top 2fingerpinch angled,,,4,,,,8,4,,
Cube h,Rank,h top 3fingerpinch up,3,4,5,,4,3,5,5,1,3
Cube h,Rank,h side hook up,,,,,,,,,,
Cube h,Rank,h side 2fingerpinch up,6,5,1,,1,2,4,,,2
Cube h,Rank,h top 2fingerpinch up,,2,3,,2,7,10,3,4,1
Cube h,Rank,h side hook 90,,,,,,,,6,,
Cone h,Confidence,h side 3fingerpinch up,57,48,,14,,,1,,100,87
Cone h,Confidence,None,,,,,,,,,,
Cone h,Confidence,h top 3fingerpinch up,,,,,,,61,,,
Cone h,Confidence,h side equidistant 90,,,,,,,,,,
Cone h,Confidence,h side hook 90,,,,,,,,,,
Cone h,Confidence,h side equidistant up,68,71,100,,63,,60,55,100,
Cone h,Confidence,h top equidistant up,52,,,,,50,100,,93,73
Cone h,Confidence,h side 2fingerpinch up,51,32,100,,54,21,,55,,
Cone h,Confidence,h top 2fingerpinch up,52,40,59,,,51,30,,95,73
Cone h,Viable,h side 3fingerpinch up,1,1,,1,,,1,,1,1
Cone h,Viable,None,,,,,,,,,,
Cone h,Viable,h top 3fingerpinch up,,,,,,,1,,,
Cone h,Viable,h side equidistant 90,,,,,,,,,,
Cone h,Viable,h side hook 90,,,,,,,,,,
Cone h,Viable,h side equidistant up,1,1,1,,1,,1,1,1,
Cone h,Viable,h top equidistant up,1,,,,,1,1,,1,1
Cone h,Viable,h side 2fingerpinch up,1,1,1,,1,1,,1,,
Cone h,Viable,h top 2fingerpinch up,1,1,1,,,1,1,,1,1
Cone h,Rank,h side 3fingerpinch up,4,,,1,,,2,,1,1
Cone h,Rank,None,,,,,,,,,,
Cone h,Rank,h top 3fingerpinch up,,,,,,,1,,,
Cone h,Rank,h side equidistant 90,,,,,,,,,,
Cone h,Rank,h side hook 90,,,,,,,,,,
Cone h,Rank,h side equidistant up,1,,2,,,,5,2,2,
Cone h,Rank,h top equidistant up,5,,,,,2,3,,4,2
Cone h,Rank,h side 2fingerpinch up,3,,1,,,3,,1,,
Cone h,Rank,h top 2fingerpinch up,2,,3,,,1,4,,3,3
Cylinder h,Confidence,h side 3fingerpinch up,,76,100,94,58,50,99,95,100,
Cylinder h,Confidence,None,,,,,,,,,,
Cylinder h,Confidence,h top 3fingerpinch up,76,77,,,68,55,99,98,,
Cylinder h,Confidence,h side equidistant up,90,33,87,,,,,90,,
Cylinder h,Confidence,h side equidistant down,,,,,,,99,,,
Cylinder h,Confidence,h top equidistant up,87,89,,,90,60,,99,,76
Cylinder h,Confidence,h side hook up,,,,,,,,,,
Cylinder h,Confidence,h side 2fingerpinch up,75,57,88,,73,,,90,,
Cylinder h,Confidence,h top 2fingerpinch up,81,81,,,,60,,99,,76
Cylinder h,Confidence,h side hook 90,,,,,,,,,,
Cylinder h,Viable,h side 3fingerpinch up,,1,1,1,1,1,1,1,1,
Cylinder h,Viable,None,,,,,,,,,,
Cylinder h,Viable,h top 3fingerpinch up,1,1,,,1,1,1,1,,
Cylinder h,Viable,h side equidistant up,1,1,1,,,,,1,,
Cylinder h,Viable,h side equidistant down,,,,,,,1,,,
Cylinder h,Viable,h top equidistant up,1,1,,,1,1,,1,,1
Cylinder h,Viable,h side hook up,,,,,,,,,,
Cylinder h,Viable,h side 2fingerpinch up,1,1,1,,1,,,1,,
Cylinder h,Viable,h top 2fingerpinch up,1,1,,,,1,,1,,1
Cylinder h,Viable,h side hook 90,,,,,,,,,,
Cylinder h,Rank,h side 3fingerpinch up,,1,1,,4,4,2,6,,
Cylinder h,Rank,None,,,,,,,,,,
Cylinder h,Rank,h top 3fingerpinch up,4,5,,,3,3,1,3,,
Cylinder h,Rank,h side equidistant up,1,6,2,,,,,4,,
Cylinder h,Rank,h side equidistant down,,,,,,,3,,,
Cylinder h,Rank,h top equidistant up,2,2,,,1,2,,1,,
Cylinder h,Rank,h side hook up,,,,,,,,,,
Cylinder h,Rank,h side 2fingerpinch up,3,3,3,,2,,,5,,
Cylinder h,Rank,h top 2fingerpinch up,5,4,,,,1,,2,,
Cylinder h,Rank,h side hook 90,,,,,,,,,,
