Cone h,Confidence,h top equidistant up,52
Cone h,Confidence,h side 2fingerpinch up,51
Cone h,Confidence,h top 2fingerpinch up,52
Cone h,Viable,h side 3fingerpinch up,1
Cone h,Viable,None,
Cone h,Viable,h top 3fingerpinch up,
Cone h,Viable,h side equidistant 90,
Cone h,Viable,h side hook 90,
Cone h,Viable,h side equidistant up,1
Cone h,Viable,h top equidistant up,1
Cone h,Viable,h side 2fingerpinch up,1
Cone h,Viable,h top 2fingerpinch up,1
Cone h,Rank,h side 3fingerpinch up,4
Cone h,Rank,None,
Cone h,Rank,h top 3fingerpinch up,
Cone h,Rank,h side equidistant 90,
Cone h,Rank,h side hook 90,
Cone h,Rank,h side equidistant up,1
Cone h,Rank,h top equidistant up,5
Cone h,Rank,h side 2fingerpinch up,3
Cone h,Rank,h top 2fingerpinch up,2
Cylinder h,Confidence,h side 3fingerpinch up,
Cylinder h,Confidence,None,
Cylinder h,Confidence,h top 3fingerpinch up,76
Cylinder h,Confidence,h side equidistant up,90
Cylinder h,Confidence,h side equidistant down,
Cylinder h,Confidence,h top equidistant up,87
Cylinder h,Confidence,h side hook up,
Cylinder h,Confidence,h side 2fingerpinch up,75
Cylinder h,Confidence,h top 2fingerpinch up,81
Cylinder h,Confidence,h side hook 90,
Cylinder h,Viable,h side 3fingerpinch up,
Cylinder h,Viable,None,
Cylinder h,Viable,h top 3fingerpinch up,1
Cylinder h,Viable,h side equidistant up,1
Cylinder h,Viable,h side equidistant down,
Cylinder h,Viable,h top equidistant up,1
Cylinder h,Viable,h side hook up,
Cylinder h,Viable,h side 2fingerpinch up,1
Cylinder h,Viable,h top 2fingerpinch up,1
Cylinder h,Viable,h side hook 90,
Cylinder h,Rank,h side 3fingerpinch up,
Cylinder h,Rank,None,
Cylinder h,Rank,h top 3fingerpinch up,4
Cylinder h,Rank,h side equidistant up,1
Cylinder h,Rank,h side equidistant down,
Cylinder h,Rank,h top equidistant up,2
Cylinder h,Rank,h side hook up,
Cylinder h,Rank,h side 2fingerpinch up,3
Cylinder h,Rank,h top 2fingerpinch up,5
Cylinder h,Rank,h side hook 90,
